Date,Filename,Original Size (B),Optimized To (B),Savings (%)
1/20/2015 1:13:47 PM, img/2015/GlyphXmlNamespace/TotalGlyphItems.png, 440, 240, 45.5
1/20/2015 1:13:48 PM, img/2015/GlyphXmlNamespace/GlyphItemShortcut.png, 440, 240, 45.5
1/20/2015 1:13:48 PM, img/2015/GlyphXmlNamespace/GlyphItemPublic.png, 440, 240, 45.5
1/20/2015 1:13:48 PM, img/2015/GlyphXmlNamespace/GlyphItemProtected.png, 440, 240, 45.5
1/20/2015 1:13:49 PM, img/2015/GlyphXmlNamespace/GlyphItemPrivate.png, 440, 240, 45.5
1/20/2015 1:13:49 PM, img/2015/GlyphXmlNamespace/GlyphItemInternal.png, 440, 240, 45.5
1/20/2015 1:13:49 PM, img/2015/GlyphXmlNamespace/GlyphItemFriend.png, 440, 240, 45.5
1/20/2015 1:13:50 PM, img/2015/GlyphXmlItem/TotalGlyphItems.png, 225, 150, 33.3
1/20/2015 1:13:50 PM, img/2015/GlyphXmlItem/GlyphItemShortcut.png, 225, 150, 33.3
1/20/2015 1:13:51 PM, img/2015/GlyphXmlItem/GlyphItemPublic.png, 225, 150, 33.3
1/20/2015 1:13:51 PM, img/2015/GlyphXmlItem/GlyphItemProtected.png, 225, 150, 33.3
1/20/2015 1:13:51 PM, img/2015/GlyphXmlItem/GlyphItemPrivate.png, 225, 150, 33.3
1/20/2015 1:13:52 PM, img/2015/GlyphXmlItem/GlyphItemInternal.png, 225, 150, 33.3
1/20/2015 1:13:52 PM, img/2015/GlyphXmlItem/GlyphItemFriend.png, 225, 150, 33.3
1/20/2015 1:13:52 PM, img/2015/GlyphXmlDescendantQuestion/TotalGlyphItems.png, 537, 283, 47.3
1/20/2015 1:13:53 PM, img/2015/GlyphXmlDescendantQuestion/GlyphItemShortcut.png, 537, 283, 47.3
1/20/2015 1:13:53 PM, img/2015/GlyphXmlDescendantQuestion/GlyphItemPublic.png, 537, 283, 47.3
1/20/2015 1:13:54 PM, img/2015/GlyphXmlDescendantQuestion/GlyphItemProtected.png, 537, 283, 47.3
1/20/2015 1:13:54 PM, img/2015/GlyphXmlDescendantQuestion/GlyphItemPrivate.png, 537, 283, 47.3
1/20/2015 1:13:54 PM, img/2015/GlyphXmlDescendantQuestion/GlyphItemInternal.png, 537, 283, 47.3
1/20/2015 1:13:55 PM, img/2015/GlyphXmlDescendantQuestion/GlyphItemFriend.png, 537, 283, 47.3
1/20/2015 1:13:55 PM, img/2015/GlyphXmlDescendantCheck/TotalGlyphItems.png, 554, 272, 50.9
1/20/2015 1:13:56 PM, img/2015/GlyphXmlDescendantCheck/GlyphItemShortcut.png, 554, 272, 50.9
1/20/2015 1:13:56 PM, img/2015/GlyphXmlDescendantCheck/GlyphItemPublic.png, 554, 272, 50.9
1/20/2015 1:13:57 PM, img/2015/GlyphXmlDescendantCheck/GlyphItemProtected.png, 554, 272, 50.9
1/20/2015 1:13:57 PM, img/2015/GlyphXmlDescendantCheck/GlyphItemPrivate.png, 554, 272, 50.9
1/20/2015 1:13:58 PM, img/2015/GlyphXmlDescendantCheck/GlyphItemInternal.png, 554, 272, 50.9
1/20/2015 1:13:58 PM, img/2015/GlyphXmlDescendantCheck/GlyphItemFriend.png, 554, 272, 50.9
1/20/2015 1:13:58 PM, img/2015/GlyphXmlDescendant/TotalGlyphItems.png, 316, 179, 43.4
1/20/2015 1:13:59 PM, img/2015/GlyphXmlDescendant/GlyphItemShortcut.png, 316, 179, 43.4
1/20/2015 1:13:59 PM, img/2015/GlyphXmlDescendant/GlyphItemPublic.png, 316, 179, 43.4
1/20/2015 1:14:00 PM, img/2015/GlyphXmlDescendant/GlyphItemProtected.png, 316, 179, 43.4
1/20/2015 1:14:00 PM, img/2015/GlyphXmlDescendant/GlyphItemPrivate.png, 316, 179, 43.4
1/20/2015 1:14:00 PM, img/2015/GlyphXmlDescendant/GlyphItemInternal.png, 316, 179, 43.4
1/20/2015 1:14:01 PM, img/2015/GlyphXmlDescendant/GlyphItemFriend.png, 316, 179, 43.4
1/20/2015 1:14:01 PM, img/2015/GlyphXmlChildQuestion/TotalGlyphItems.png, 545, 265, 51.4
1/20/2015 1:14:01 PM, img/2015/GlyphXmlChildQuestion/GlyphItemShortcut.png, 545, 265, 51.4
1/20/2015 1:14:02 PM, img/2015/GlyphXmlChildQuestion/GlyphItemPublic.png, 545, 265, 51.4
1/20/2015 1:14:02 PM, img/2015/GlyphXmlChildQuestion/GlyphItemProtected.png, 545, 265, 51.4
1/20/2015 1:14:03 PM, img/2015/GlyphXmlChildQuestion/GlyphItemPrivate.png, 545, 265, 51.4
1/20/2015 1:14:03 PM, img/2015/GlyphXmlChildQuestion/GlyphItemInternal.png, 545, 265, 51.4
1/20/2015 1:14:04 PM, img/2015/GlyphXmlChildQuestion/GlyphItemFriend.png, 545, 265, 51.4
1/20/2015 1:14:04 PM, img/2015/GlyphXmlChildCheck/TotalGlyphItems.png, 560, 285, 49.1
1/20/2015 1:14:05 PM, img/2015/GlyphXmlChildCheck/GlyphItemShortcut.png, 560, 285, 49.1
1/20/2015 1:14:05 PM, img/2015/GlyphXmlChildCheck/GlyphItemPublic.png, 560, 285, 49.1
1/20/2015 1:14:05 PM, img/2015/GlyphXmlChildCheck/GlyphItemProtected.png, 560, 285, 49.1
1/20/2015 1:14:06 PM, img/2015/GlyphXmlChildCheck/GlyphItemPrivate.png, 560, 285, 49.1
1/20/2015 1:14:06 PM, img/2015/GlyphXmlChildCheck/GlyphItemInternal.png, 560, 285, 49.1
1/20/2015 1:14:07 PM, img/2015/GlyphXmlChildCheck/GlyphItemFriend.png, 560, 285, 49.1
1/20/2015 1:14:07 PM, img/2015/GlyphXmlChild/TotalGlyphItems.png, 410, 212, 48.3
1/20/2015 1:14:07 PM, img/2015/GlyphXmlChild/GlyphItemShortcut.png, 410, 212, 48.3
1/20/2015 1:14:08 PM, img/2015/GlyphXmlChild/GlyphItemPublic.png, 410, 212, 48.3
