Date,Filename,Original Size (B),Optimized To (B),Savings (%)
1/20/2015 4:20:27 PM, images/VBServiceBusWorker.png, 306, 198, 35.3
1/20/2015 4:20:28 PM, images/VBRibbonCustomAction.png, 311, 180, 42.1
1/20/2015 4:20:28 PM, images/VBReport.png, 245, 161, 34.3
1/20/2015 4:20:28 PM, images/VBRazorFile.png, 294, 183, 37.8
1/20/2015 4:20:29 PM, images/VBProjectNode.png, 346, 225, 35
1/20/2015 4:20:29 PM, images/VBPhoneWebSite.png, 411, 226, 45
1/20/2015 4:20:29 PM, images/VBPhoneTest.png, 398, 233, 41.5
1/20/2015 4:20:30 PM, images/VBPhonePivot.png, 291, 172, 40.9
1/20/2015 4:20:30 PM, images/VBPhoneLibrary.png, 287, 173, 39.7
1/20/2015 4:20:30 PM, images/VBPhoneHub.png, 297, 166, 44.1
1/20/2015 4:20:31 PM, images/VBPhone.png, 205, 140, 31.7
1/20/2015 4:20:31 PM, images/VBPackage.png, 340, 231, 32.1
1/20/2015 4:20:32 PM, images/VBNavigationApplication.png, 271, 187, 31
1/20/2015 4:20:32 PM, images/VBMenuItemCustomAction.png, 287, 171, 40.4
1/20/2015 4:20:32 PM, images/VBListDefinition.png, 274, 170, 38
1/20/2015 4:20:33 PM, images/VBLightswitchLibrary.png, 393, 252, 35.9
1/20/2015 4:20:33 PM, images/VBLightswitch.png, 409, 243, 40.6
1/20/2015 4:20:33 PM, images/VBLibrary.png, 231, 162, 29.9
1/20/2015 4:20:34 PM, images/VBInterop.png, 235, 164, 30.2
1/20/2015 4:20:34 PM, images/VBInterfaceCollection.png, 353, 220, 37.7
1/20/2015 4:20:34 PM, images/VBHubApplication.png, 264, 166, 37.1
1/20/2015 4:20:34 PM, images/VBGridApplication.png, 226, 151, 33.2
1/20/2015 4:20:35 PM, images/VBFixedLayoutApplication.png, 238, 166, 30.3
1/20/2015 4:20:35 PM, images/VBFileNode.png, 432, 276, 36.1
1/20/2015 4:20:35 PM, images/VBExtension.png, 215, 123, 42.8
1/20/2015 4:20:36 PM, images/VBEventReceiver.png, 374, 227, 39.3
1/20/2015 4:20:36 PM, images/VBDynamicWebSite.png, 766, 592, 22.7
1/20/2015 4:20:36 PM, images/VBDeviceTest.png, 383, 255, 33.4
1/20/2015 4:20:37 PM, images/VBDeploymentModule.png, 317, 191, 39.7
1/20/2015 4:20:37 PM, images/VBDatabaseLibrary.png, 363, 230, 36.6
1/20/2015 4:20:37 PM, images/VBContentType.png, 210, 154, 26.7
1/20/2015 4:20:38 PM, images/VBConsoleTest.png, 400, 258, 35.5
1/20/2015 4:20:38 PM, images/VBColumn.png, 200, 132, 34
1/20/2015 4:20:38 PM, images/VBCodTest.png, 396, 236, 40.4
1/20/2015 4:20:39 PM, images/VBCloudBusinessApp.png, 344, 219, 36.3
1/20/2015 4:20:39 PM, images/VBClassLibrary.png, 530, 341, 35.7
1/20/2015 4:20:39 PM, images/VBClassFile.png, 626, 459, 26.7
1/20/2015 4:20:40 PM, images/VBClassCollection.png, 538, 273, 49.3
1/20/2015 4:20:40 PM, images/VBBlankWebSite.png, 744, 642, 13.7
1/20/2015 4:20:40 PM, images/VBBlankPhone.png, 294, 181, 38.4
1/20/2015 4:20:41 PM, images/VBBlankFile.png, 353, 214, 39.4
1/20/2015 4:20:41 PM, images/VBBlankApplication.png, 267, 184, 31.1
1/20/2015 4:20:42 PM, images/VBBDCModel.png, 398, 245, 38.4
1/20/2015 4:20:42 PM, images/VBAssemblyInfoFile.png, 290, 207, 28.6
1/20/2015 4:20:42 PM, images/VBApplication.png, 177, 136, 23.2
1/20/2015 4:20:43 PM, images/VBAApplication.png, 447, 265, 40.7
1/20/2015 4:20:43 PM, images/VariableProperty.png, 541, 330, 39
1/20/2015 4:20:43 PM, images/ValueTypeShortcut.png, 253, 162, 36
1/20/2015 4:20:44 PM, images/ValueTypeSealed.png, 373, 237, 36.5
1/20/2015 4:20:44 PM, images/ValueTypePublic.png, 193, 129, 33.2
1/20/2015 4:20:45 PM, images/ValueTypeProtected.png, 322, 224, 30.4
1/20/2015 4:20:45 PM, images/ValueTypePrivate.png, 256, 162, 36.7
1/20/2015 4:20:45 PM, images/ValueTypeInternal.png, 312, 216, 30.8
1/20/2015 4:20:46 PM, images/ValueType.png, 193, 129, 33.2
1/20/2015 4:20:46 PM, images/ValidationSummary.png, 393, 253, 35.6
1/20/2015 4:20:46 PM, images/ValidationRule.png, 407, 236, 42
1/20/2015 4:20:47 PM, images/ValidateWarning.png, 515, 297, 42.3
1/20/2015 4:20:47 PM, images/ValidateTestStep.png, 398, 204, 48.7
1/20/2015 4:20:47 PM, images/ValidateShelveset.png, 535, 342, 36.1
1/20/2015 4:20:48 PM, images/ValidateModel.png, 431, 235, 45.5
1/20/2015 4:20:48 PM, images/ValidatedScriptWarning.png, 525, 300, 42.9
1/20/2015 4:20:48 PM, images/ValidatedScriptExcluded.png, 536, 323, 39.7
1/20/2015 4:20:49 PM, images/ValidatedScriptError.png, 545, 338, 38
1/20/2015 4:20:49 PM, images/ValidatedScript.png, 464, 284, 38.8
1/20/2015 4:20:50 PM, images/ValidateDocument.png, 427, 234, 45.2
1/20/2015 4:20:50 PM, images/ValidateAggregation.png, 554, 323, 41.7
1/20/2015 4:20:50 PM, images/Utility.png, 341, 209, 38.7
1/20/2015 4:20:51 PM, images/UserWizard.png, 379, 236, 37.7
1/20/2015 4:20:51 PM, images/UserWarning.png, 427, 254, 40.5
1/20/2015 4:20:51 PM, images/UserTask.png, 430, 332, 22.8
1/20/2015 4:20:52 PM, images/UserProjectTemplate.png, 319, 201, 37
1/20/2015 4:20:52 PM, images/UserItemTemplate.png, 310, 196, 36.8
1/20/2015 4:20:52 PM, images/UserFunction.png, 483, 298, 38.3
1/20/2015 4:20:53 PM, images/UserFeedback.png, 425, 254, 40.2
1/20/2015 4:20:53 PM, images/UserError.png, 475, 271, 42.9
1/20/2015 4:20:53 PM, images/UserDefinedTypeWarning.png, 542, 304, 43.9
1/20/2015 4:20:54 PM, images/UserDefinedTypeError.png, 557, 316, 43.3
1/20/2015 4:20:54 PM, images/UserDefinedTableType.png, 359, 213, 40.7
1/20/2015 4:20:54 PM, images/UserDefinedDataTypeWarning.png, 426, 268, 37.1
1/20/2015 4:20:55 PM, images/UserDefinedDataTypeError.png, 412, 266, 35.4
1/20/2015 4:20:55 PM, images/UserDefinedDataType.png, 299, 212, 29.1
1/20/2015 4:20:56 PM, images/UserDataType.png, 411, 233, 43.3
1/20/2015 4:20:56 PM, images/UserControl.png, 319, 212, 33.5
1/20/2015 4:20:56 PM, images/UserBuild.png, 398, 236, 40.7
1/20/2015 4:20:57 PM, images/UserApplication.png, 336, 207, 38.4
1/20/2015 4:20:57 PM, images/User.png, 378, 218, 42.3
1/20/2015 4:20:57 PM, images/UseCase.png, 370, 231, 37.6
1/20/2015 4:20:58 PM, images/USB.png, 354, 231, 34.7
1/20/2015 4:20:58 PM, images/UsageBasedOptimization.png, 457, 253, 44.6
1/20/2015 4:20:58 PM, images/URLInputBox.png, 470, 298, 36.6
1/20/2015 4:20:59 PM, images/UploadParameter.png, 596, 401, 32.7
1/20/2015 4:20:59 PM, images/UploadDocument.png, 396, 236, 40.4
1/20/2015 4:21:00 PM, images/UploadDatabase.png, 458, 280, 38.9
1/20/2015 4:21:00 PM, images/Upload.png, 380, 200, 47.4
1/20/2015 4:21:00 PM, images/UpdateScript.png, 504, 288, 42.9
1/20/2015 4:21:01 PM, images/UpdatePanel.png, 315, 193, 38.7
1/20/2015 4:21:01 PM, images/UpdateListItem.png, 426, 242, 43.2
1/20/2015 4:21:01 PM, images/UpdateDatabaseOK.png, 673, 416, 38.2
1/20/2015 4:21:02 PM, images/UpdateDatabaseError.png, 635, 375, 40.9
1/20/2015 4:21:02 PM, images/UpdateDatabase.png, 498, 309, 38
1/20/2015 4:21:03 PM, images/UpdateAnimation.png, 489, 307, 37.2
1/20/2015 4:21:03 PM, images/UnsyncedCommits.png, 393, 272, 30.8
